大白菜,0.30,0.33,0.35,储存\新,斤,2021-05-25
娃娃菜,0.50,0.60,0.70,大\小,斤,2021-05-25
小白菜,0.50,0.65,0.80,普通,斤,2021-05-25
芹菜,0.80,1.00,1.20,\冀,斤,2021-05-25
西芹,2.00,2.25,2.50,普通,斤,2021-05-25
菠菜,1.00,1.25,1.50,鲁\冀,斤,2021-05-25
莴笋,0.70,1.00,1.30,闽浙/鲁,斤,2021-05-25
团生菜,0.80,1.00,1.20,毛|净,斤,2021-05-25
圆白菜,0.30,0.35,0.40,\冀,斤,2021-05-25
紫甘蓝,0.80,0.90,1.00,闽云,斤,2021-05-25
散叶生菜,1.00,1.30,1.60,\京,斤,2021-05-25
油菜,1.00,1.20,1.40,鲁\京,斤,2021-05-25
香菜,1.50,1.65,1.80,鲁\冀,斤,2021-05-25
茴香,1.00,1.25,1.50,\冀,斤,2021-05-25
韭菜,0.80,0.95,1.10,普通,斤,2021-05-25
韭菜苔,3.00,3.60,4.20,普通,斤,2021-05-25
苦菊,1.00,1.15,1.30,辽,斤,2021-05-25
油麦菜,1.40,1.60,1.80,\京,斤,2021-05-25
散菜花,1.00,1.25,1.50,豫\苏,斤,2021-05-25
绿菜花,1.40,1.70,2.00,冀\ 苏陕,斤,2021-05-25
